Title,Organization,RFP_No,Contract_Val,Contract_Type,Service,Comp_Type,NAICS,Priority
ADMINISTRATIVE AND ANALYSIS SUPPORT,DEFENSE/OFFICE OF THE SECRETARY OF DEFENSE,HQ0034EASDTM30312,0,TBD,IT Professional Services,Undetermined,541611,1
ADMINISTRATIVE AND IT SUPPORT SERVICES  FOR SECURITY TECHNICAL OPERATIONS SERVICES,STATE/BUREAU OF DIPLOMATIC SECURITY (CODE DS),SAQMMA12R0051,59696,Cost Reimbursement,Administrative / Logistics / Support,8(a) Set-Aside,541519,4
ADMINISTRATIVE AND OPERATIONS SUPPORT SERVICES IDIQ,MARINE CORPS/MARINE CORPS SYSTEMS COMMAND,M6785412R0514,7774,Firm Fixed Price,Administrative / Logistics / Support,Small Bus Set-Aside,541611,1
ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT PROFESSIONAL SUPPORT,STATE/BUREAU OF DIPLOMATIC SECURITY (CODE DS),SAQMMA13R0330,95000,Firm Fixed Price,Management Consulting,Service Disabled Veteran Owned Small Business,541611,3
ADMINISTRATIVE SUPPORT FOR PERSONNEL SECURITY SERVICES,HOMELAND SECURITY/CUSTOMS AND BORDER PROTECTION,HSBP1014R0018,50000,Firm Fixed Price,Professional Services,Service Disabled Veteran Owned Small Business,561110,5
ADMINISTRATIVE SUPPORT SERVICES,DEFENSE/WASHINGTON HEADQUARTERS SERVICE,HQ003413R0166,1236,Firm Fixed Price,Administrative / Logistics / Support,Economically Disadvantaged Women Owned Small Business,541611,3
ADMINISTRATIVE SUPPORT SERVICES TO NUWC NEWPORT DIVISION CORPORATE OPERATIONS,NAVY/NAVAL SEA SYSTEMS COMMAND,,7153,Cost Plus Fixed Fee,Administrative / Logistics / Support,Small Bus Set-Aside,541330,5
ADVANCED COMBAT IDENTIFICATION TECHNOLOGIES OR SYSTEMS,ARMY/ARMY MATERIEL COMMAND,W15P7T13RA926,0,TBD,Defense & Aerospace,Undetermined,541712,1
ADVANCED EXPEDITIONARY WARFARE DEVELOPMENT,ARMY/ARMY MATERIEL COMMAND,W911NF14R0003,800000,Cost Plus Fixed Fee,Research & Development,"Small Bus Set-Aside,Full and Open / Unrestricted",541712,4
ADVISORY AND ASSISTANCE PROFESSIONAL SCIENTIFIC AND ENGINEERING SERVICES FOR THE ARMY RESEARCH OFFICE,ARMY/ARMY MATERIEL COMMAND,W911NF13R0005,9000,Indefinite Delivery Indefinite Quantity,Administrative / Logistics / Support,Undetermined,541990,2
ADVISORY AND ASSISTANCE SERVICES,AIR FORCE/OFFICE OF THE SECRETARY OF THE AIR FORCE,FA701412R1011,3153,Firm Fixed Price,"Management, Scientific, and Technical Consulting Services",Full and Open / Unrestricted,541611,1
ADVISORY AND ASSISTANCE SERVICES,AIR FORCE/AIR FORCE MATERIEL COMMAND,FA855513R0001,36000,Firm Fixed Price,"Management, Scientific, and Technical Consulting Services",8(a) Set-Aside,541611,1
ADVISORY AND ASSISTANCE SERVICES,AIR FORCE/AIR FORCE MATERIEL COMMAND,F2DCAF2014A2014,9900,TBD,Administrative / Logistics / Support,Undetermined,541614,1
